,Precipitacion
1981-04-17,0.13823357224464417
1981-04-18,0.7113736271858215
1981-04-19,0.8369991779327393
1981-04-20,0.0016209621680900455
1981-04-21,0.048874400556087494
1981-04-22,0.010275856591761112
1981-04-23,0.5047708749771118
1981-04-24,0.5167649388313293
1981-04-25,0.04502961039543152
1981-04-26,3.509793996810913
1981-04-27,0.8752444982528687
1981-04-28,0.06605614721775055
1981-04-29,0.0034659039229154587
1981-04-30,0.00746822590008378
1981-05-01,0.0008428968139924109
1981-05-02,0.0019230108009651303
1981-05-03,0.0005106731550768018
1981-05-04,0.0
1981-05-05,0.0
1981-05-06,0.017627783119678497
1981-05-07,0.0
1981-05-08,0.0
1981-05-09,1.509918451309204
1981-05-10,0.0046502770856022835
1981-05-11,0.0008826620178297162
1981-05-12,0.0005250209360383451
1981-05-13,0.00011731625272659585
1981-05-14,0.19441576302051544
1981-05-15,0.0007021318888291717
1981-05-16,0.0012439396232366562
1981-05-17,0.00013877562014386058
1981-05-18,0.0010094634490087628
1981-05-19,0.0002723253273870796
1981-05-20,0.003073180327191949
1981-05-21,0.0008120480342768133
1981-05-22,0.0
1981-05-23,0.0011171067599207163
1981-05-24,0.0003408515767659992
1981-05-25,0.00011300578626105562
1981-05-26,0.001819237950257957
1981-05-27,0.0008017553482204676
1981-05-28,0.000150893276440911
1981-05-29,0.0009991151746362448
1981-05-30,1.7039632439264096e-05
1981-05-31,0.001227915519848466
1981-06-01,2.7252850486547686e-05
1981-06-02,0.0002692316484171897
1981-06-03,0.0
1981-06-04,0.0005651699611917138
1981-06-05,0.0006935989949852228
1981-06-06,0.0009898707503452897
1981-06-07,0.0003097287262789905
1981-06-08,0.0005743200890719891
1981-06-09,0.0019324957393109798
1981-06-10,0.0
1981-06-11,0.0034241105895489454
1981-06-12,0.002544214716181159
1981-06-13,0.004427602514624596
1981-06-14,0.0003064788179472089
1981-06-15,0.001005389727652073
1981-06-16,0.0026058549992740154
1981-06-17,0.041486360132694244
1981-06-18,4.359321117401123
1981-06-19,4.3284679122734815e-05
1981-06-20,0.0007521574734710157
1981-06-21,0.0003552383277565241
1981-06-22,0.0007517871563322842
1981-06-23,0.00030644796788692474
1981-06-24,0.0003112308622803539
1981-06-25,0.0014864379772916436
1981-06-26,0.0016303102020174265
1981-06-27,4.8031720325525384e-06
1981-06-28,0.0
1981-06-29,1.6046697055571713e-05
1981-06-30,7.734705286566168e-05
1981-07-01,6.396954995580018e-05
